budget,runtime,vote_average,vote_count,popularity,release_year,release_month,primary_genre,lead_actor,director,production_company,release_season,budget_per_minute,vote_weighted_score,budget_log,popularity_log,revenue,roi
150000,94.0,5.8,14.0,1.165039,1995,6,Comedy,Parker Posey,Daisy von Scherler Mayer,Party Productions,Summer,1595.7446808510638,15.706691166392817,11.918397239722838,0.7724383751490185,472370.0,2.1491333333333333
8,98.0,6.4,139.0,10.187623,1995,9,Fantasy,Christopher Walken,Gregory Widen,Dimension Films,Fall,0.08163265306122448,31.626511504699547,2.1972245773362196,2.4148080779539436,16.0,1.0
50000000,135.0,5.5,111.0,6.752119,1995,10,Drama,Demi Moore,Roland Joffé,Hollywood Pictures,Fall,370370.3703703704,25.95174379212302,17.72753358339242,2.047966225347835,10382407.0,-0.79235186
45000000,128.0,4.9,261.0,17.502375,1995,9,Drama,Elizabeth Berkley,Paul Verhoeven,United Artists,Fall,351562.5,27.284888068429375,17.622173069956816,2.917899102222859,20350754.0,-0.5477610222222222
7000000,112.0,7.2,115.0,5.552946,1995,6,Comedy,Harvey Keitel,Wayne Wang,Miramax Films,Summer,62500.0,34.22584937596582,15.76142084987672,1.8799147195228727,8349430.0,0.19277571428571427
35000000,108.0,5.5,457.0,13.492845,1995,7,Science Fiction,Natasha Henstridge,Roger Donaldson,Metro-Goldwyn-Mayer (MGM),Summer,324074.0740740741,33.69778051262802,17.370858648025116,2.6736550793650014,113374103.0,2.2392600857142857
42000000,145.0,6.8,334.0,11.223055,1995,10,Crime,Ralph Fiennes,Kathryn Bigelow,Lightstorm Entertainment,Fall,289655.1724137931,39.53608761641045,17.553180200057167,2.5033239224986565,7959291.0,-0.8104930714285714
14000000,99.0,4.6,9.0,1.820419,1995,9,Thriller,Daryl Hannah,Wesley Strick,Hollywood Pictures,Fall,141414.14141414143,10.59189142777261,16.454567959008102,1.0368854554731592,5780000.0,-0.5871428571428572
60000000,100.0,5.6,217.0,7.490247,1995,7,Action,Steven Seagal,Geoff Murphy,Regency Enterprises,Summer,600000.0,30.153172351618895,17.909855136853043,2.1389180929507092,104324083.0,0.7387347166666667
20000000,103.0,6.5,168.0,9.715639,1995,8,Drama,Keanu Reeves,Alfonso Aráu,Twentieth Century Fox Film Corporation,Summer,194174.7572815534,33.34434164699998,16.811242881518265,2.3717042631716483,50012507.0,1.50062535
175000000,135.0,5.9,1017.0,16.885184,1995,7,Adventure,Kevin Costner,Kevin Reynolds,Universal Pictures,Summer,1296296.2962962964,40.86101166295176,18.980296537602072,2.883972660608857,264218220.0,0.5098184
2800000,135.0,6.7,35.0,2.486073,1994,5,Drama,Nikita Mikhalkov,Nikita Mikhalkov,Canal+,Spring,20740.74074074074,24.009576887655935,14.845130332288226,1.2487758877850546,2616503.0,-0.06553464285714286
2500000,105.0,7.7,984.0,11.304979,1995,1,Drama,Ethan Hawke,Richard Linklater,Detour Film Production,Winter,23809.52380952381,53.07334063702508,14.731801689838349,2.510003977218239,5535405.0,1.214162
10000000,89.0,6.2,464.0,6.638116,1995,2,Comedy,Adam Sandler,Tamra Davis,Jack Giarraputo Productions,Winter,112359.55056179775,38.08063191464161,16.118095750958314,2.0331509759097854,26488734.0,1.6488734
